Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
30-39,,2021-04-24,0,0,
30-39,,2021-05-01,0,0,
30-39,,2021-05-08,0,0,
30-39,,2021-05-15,0,0,
30-39,,2021-05-22,0,0,
30-39,,2021-05-29,0.10216205558228796,0,
30-39,,2021-06-05,0,0,
30-39,,2021-06-12,0,0,
30-39,,2021-06-19,0,0,
30-39,,2021-06-26,0,0,
30-39,,2021-07-03,0,0,
30-39,,2021-07-10,0,0,
30-39,,2021-07-17,0,0,
30-39,,2021-07-24,0.16516340441415714,0,
30-39,,2021-07-31,0,0,
30-39,,2021-08-07,0,0,
30-39,,2021-08-14,0,0,
30-39,,2021-08-21,0.1801006762780394,0,
30-39,,2021-08-28,0,0,
30-39,,2021-09-04,0.19377066079670746,0,
30-39,,2021-09-11,0,0,
30-39,,2021-09-18,0.2186313241843412,0,
30-39,,2021-09-25,0,0,
30-39,,2021-10-02,0.23877004773013255,0,
30-39,,2021-10-09,0,0,
30-39,,2021-10-16,0,0,
30-39,,2021-10-23,0,0,
30-39,,2021-10-30,0,0,
30-39,,2021-11-06,0,0,
30-39,,2021-11-13,0,0,0
30-39,,2021-11-20,0,0,0
30-39,,2021-11-27,0,0,0
30-39,,2021-12-04,0.2825002401252041,0,0
30-39,,2021-12-11,0,0,0
30-39,,2021-12-18,0.58678214539288,0,0
30-39,,2021-12-25,0,0,0
30-39,,2022-01-01,0,0,0
30-39,,2022-01-08,0.30224903506995554,0,0
40-49,,2021-01-30,0.08406434284801587,0,
40-49,,2021-02-06,0,0,
40-49,,2021-02-13,0.08463817181548879,0,
40-49,,2021-02-20,0.08491328655177333,0,
40-49,,2021-02-27,0,0,
40-49,,2021-03-06,0,0,
40-49,,2021-03-13,0,0,
40-49,,2021-03-20,0,0,
40-49,,2021-03-27,0,0,
40-49,,2021-04-03,0,0,
40-49,,2021-04-10,0,0,
40-49,,2021-04-17,0,0,
40-49,,2021-04-24,0.09048381696933504,0,
