Município [-],Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018]
Camaragibe,2603454,camaragibense,NADEGI ALVES DE QUEIROZ,"51,321",159945,"2818,46","97,4","0,692","14,91","281348,77533","230504,36035","11807,42"
Camocim de São Félix,2603504,camociense ou camocinense,GIORGE DO CARMO BEZERRA,"71,985",19032,"235,99",97,"0,588","4,03","39319,76709","36025,38254","8247,04"
Camutanga,2603603,camutanguense,TALITA CARDOZO FONSECA,"39,116",8592,"217,39","97,9","0,606","16,53","33111,61483","30565,25951","15220,35"
Canhotinho,2603702,canhotinhense,SANDRA REJANE LOPES DE BARROS,"423,168",24743,"57,96","91,8","0,541","15,11","60821,06924","55903,84664","7621,24"
Capoeiras,2603801,capoeirense,LUCINEIDE ALMEIDA REINO,"336,329",20048,"58,26","96,5","0,549","14,55","48393,02108","45999,66013","10614,15"
Carnaíba,2603900,carnaibano,JOSE DE ANCHIETA GOMES PATRIOTA,"427,802",19666,"43,42","96,1","0,583","3,5","46405,34044","41106,30414","7930,56"
Carnaubeira da Penha,2603926,carnaubeirense,ELIZIO SOARES FILHO,"1004,667",13117,"11,73","98,1","0,573","20,08","26786,40047","28037,73757","6125,37"
Carpina,2604007,carpinense,MANUEL SEVERINO DA SILVA,"147,017",85131,"516,51","95,5","0,68","10,81","141304,60327","127645,62762","17467,92"
Caruaru,2604106,caruaruense,RAQUEL TEIXEIRA LYRA LUCENA,"923,15",369343,"342,07","94,9","0,677","9,62","669460,37758","617694,32903","20028,26"
Casinhas,2604155,casinhense,JULIANA BARBOSA DA SILVA AGUIAR,"115,868",14395,"118,81","97,5","0,567","11,3","38794,2892","35000,43381","6628,6"
Catende,2604205,catendense,GRACINA MARIA RAMOS BRAZ DA SILVA,"207,244",43778,"182,49","95,2","0,609","10,82","83649,81248","78662,80028","6734,87"
Cedro,2604304,cedrense,MARLY QUENTAL DA CRUZ,"148,746",11972,"72,45","95,5","0,615","30,3","32206,71799","31746,40266","7556,35"
Chã de Alegria,2604403,alegriense,TARCISIO MASSENA PEREIRA DA SILVA,"48,993",13641,"255,5","97,1","0,604","4,12","29831,12227","28530,09995","11135,31"
Chã Grande,2604502,chã-grandense,DIOGO ALEXANDRE GOMES NETO,"84,848",21929,"237,33","96,7","0,599","19,54","52044,76996","52010,73032","9261,23"
Condado,2604601,condadense,ANTONIO CASSIANO DA SILVA,"89,645",26755,"270,87","97,3","0,602","10,81","53884,35881","51552,309","8460,04"
Correntes,2604700,correntense,HUGO CESAR GOMES GALVAO,"317,793",18327,53,"93,1","0,536","31,67","59372,24123","46522,9739","8255,79"
Cortês,2604809,cortesense,MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA,"101,316",12543,"122,9","97,2","0,568","12,5","45571,82893","44186,08868","9488,45"
Cumaru,2604908,cumaruense,MARIANA MENDES DE MEDEIROS,"292,231",9494,"58,8","98,5","0,572","16,39","33411,61215","32657,95005","8327,21"
Cupira,2605004,cupirense,JOSÉ MARIA LEITE DE MACEDO,"95,155",24237,"221,58","97,3","0,592",25,"49756,97653","45975,09282","10979,96"
Custódia,2605103,custodiense,EMMANUEL FERNANDES DE FREITAS GOIS,"1404,126",37633,"24,11","97,1","0,594","10,85","75387,12176","77919,88426","13498,42"
Dormentes,2605152,dormentense,JOSIMARA CAVALCANTI RODRIGUES YOTSUYA,"1539,052",19246,11,97,"0,589",12,"48921,93775","46111,32514","11599,49"
Escada,2605202,escadense,MARIA JOSE FIDELIS MOURA GOUVEIA,"342,201",69701,"183,07","94,1","0,632","11,49","127669,02451","130317,73074","13976,51"
Exu,2605301,exuense,RAIMUNDO PINTO SARAIVA SOBRINHO,"1336,786",31709,"23,65","95,2","0,576","17,61","69255,83573","66749,3125","8417,2"
Feira Nova,2605400,feira-novense,DANILSON CANDIDO GONZAGA,"107,726",22360,"190,96","97,6","0,6","22,15","46767,08375","47305,73399","8679,6"
Fernando de Noronha,2605459,noronhense,GUILHERME CAVALCANTI DA ROCHA LEITÃO,"18,609",3140,"154,55",100,"0,788","31,25",Não informado,Não informado,"53410,33"
Ferreiros,2605509,ferreirense,JOSE ROBERTO DE OLIVEIRA,"92,516",12216,"127,93","97,9","0,622","20,13","29913,7085","31175,27631","7832,56"
Flores,2605608,florense,MARCONI MARTINS SANTANA,"995,558",22612,"22,27","96,4","0,556","11,15","48602,10997","44775,61414","7515,92"
Floresta,2605707,florestano,ROSANGELA DE MOURA MANIÇOBA NOVAES FERRAZ,"3644,169",33488,"8,04","95,6","0,626","8,25","81562,82575","77441,77491","12865,92"
Frei Miguelinho,2605806,frei-miguelinhense,ADRIANA ALVES ASSUNÇÃO BARBOSA,"212,707",15633,"67,2","95,4","0,576","12,74","31288,02448","29635,70546","7533,5"
Gameleira,2605905,gameleirense,LEANDRO RIBEIRO GOMES DE LIMA,"255,961",31578,"109,05",97,"0,602","18,73","46989,96352","43882,53358","7215,12"
Garanhuns,2606002,garanhuense,SIVALDO RODRIGUES ALBINO,"458,552",141347,"282,21","96,8","0,664","16,75","277111,47317","275853,25084","17565,52"
Glória do Goitá,2606101,gloriense,ADRIANA DORNELAS CAMARA PAES,"234,214",30847,"125,17","98,3","0,604","19,23","58878,48083","54012,45529","14973,38"
Goiana,2606200,goianense,EDUARDO HONÓRIO CARNEIRO,"445,405",80345,"150,72","96,7","0,651","11,34","216636,09379","165127,99205","116122,91"
Granito,2606309,granitense,JOAO BOSCO LACERDA DE ALENCAR,"521,69",7586,"13,13","98,5","0,595",-,"24891,97608","21617,26655","9237,86"
Gravatá,2606408,gravataense,JOSELITO GOMES DA SILVA,"503,946",85309,"150,87","97,2","0,634","10,55","153864,61675","143833,27864","13479,21"
Iati,2606507,iatiense,ANTONIO JOSÉ DE SOUZA,"635,137",19284,"28,91","90,5","0,528","14,81","53244,78215","47887,36045","8458,26"
Ibimirim,2606606,ibimiriense,JOSE WELLITON DE MELO SIQUEIRA,"1906,437",29585,"14,14","93,7","0,552","18,14","58332,51098","53998,58448","8930,46"
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,"189,596",7773,"39,74","96,7","0,58",-,"24177,85009","23561,0659","7834,74"
Igarassu,2606804,igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,"306,879",119690,"333,88","97,9","0,665","5,74","243685,05216","211799,59461","21887,47"
Iguaracy,2606903,iguaraciense,JOSE TORRES LOPES FILHO,"838,132",12265,"14,05","98,7","0,598","15,5","31622,61285","28675,70674","7348,26"
Inajá,2607000,inajaense,MARCELO MACHADO FREIRE,"1168,158",24034,"16,14","84,2","0,523","30,3","41707,25865","42189,47856","7317,46"
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,"243,586",4537,"18,45","98,2","0,608",-,"21596,41902","20309,4412","7950,69"
Ipojuca,2607208,ipojuquense ou ipojucanos,CELIA AGOSTINHO LINS DE SALES,"521,801",99101,"152,98","97,3","0,619","6,93","737218,28417","678598,01813","122169,48"
Ipubi,2607307,ipubiense,FRANCISCO RUBENS MARIO CHAVES SIQUEIRA,"693,914",31515,"32,64","95,1","0,55","20,3","67417,40343","62450,21587","9606,75"
Itacuruba,2607406,itacurubense,BERNARDO DE MOURA FERRAZ,"430,038",5013,"10,16","97,5","0,595",-,"30151,53931","23072,58623","11378,85"
Itaíba,2607505,itaibense,MARIA REGINA DA CUNHA,"1061,694",26268,"24,2","93,3","0,51","13,93","60220,16821","61302,74911","8165,67"
Ilha de Itamaracá,2607604,itamaracaense,MOSAR DE MELO BARBOSA FILHO,"66,146",27076,"328,17","97,6","0,653","3,02","64403,2288","60174,32625","9654,89"
Itambé,2607653,itambeense,MARIA DAS GRAÇAS GALLINDO CARRAZZONNI,"304,006",36495,"116,13","94,6","0,575","13,23","70291,93714","66888,41956","11700,74"
Itapetim,2607703,itapetinense,ADELMO ALVES DE MOURA,"404,85",13492,"34,29","97,5","0,592","28,25","39433,05553","36008,45413","7993,96"
Itapissuma,2607752,itapissumense,JOSÉ BEZERRA TENÓRIO FILHO,"73,968",27144,"320,19","97,6","0,633",-,"101908,23862","93302,77712","59212,96"
Itaquitinga,2607802,itaquitinguense,PABLO JOSE DE OLIVEIRA MORAES,"162,739",17056,"151,72","97,3","0,586","21,65","36663,62523","37666,93663","7839,64"
Jaboatão dos Guararapes,2607901,jaboatãoense,ANDERSON FERREIRA RODRIGUES,"258,724",711330,"2491,82","96,8","0,717","11,59","1323478,88101","1100876,65428","19149,92"
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MACÊDO OLIVEIRA,"87,208",11632,"131,88","95,4","0,575","18,63","35866,13472","35130,6287","9358,82"
Jataúba,2608008,jataubense,CÁTIA JUNSARA RODRIGUES AQUILINO,"714,601",17305,"23,53","97,6","0,53",12,"41809,36644","38230,7731","7303,47"
Jatobá,2608057,jatobaense,ROGÉRIO FERREIRA GOMES DA SILVA,"277,862",14904,"50,25","97,7","0,645","4,72","32461,79465","31402,67428","8482,07"
João Alfredo,2608107,alfredense,JOSÉ ANTONIO MARTINS DA SILVA,"134,147",33570,"227,52","97,1","0,576","15,58","66699,02515","63008,48986","8701,73"
Joaquim Nabuco,2608206,nabuquense,ANTONIO RAIMUNDO BARRETO NETO,"121,901",15999,"129,39","95,5","0,554","4,95","43150,35159","36871,26036","11434,31"
Jucati,2608255,jucatiense,JOSÉ EDNALDO PEIXOTO DE LIMA,"120,604",11545,"87,92",98,"0,55","10,05","33018,70428","31815,72823","8839,64"
Jupi,2608305,jupiense,ANTONIO MARCOS PATRIOTA,"104,994",15007,"130,53","96,3","0,575","21,66","54385,17689","44696,94667","10545,02"
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,"148,254",15483,"98,08",96,"0,509","14,35","40801,90147","48971,7998","6799,45"
Lagoa do Carro,2608453,lagoense do carro,JUDITE MARIA BOTAFOGO SANTANA DA SILVA,"69,666",18429,"229,77","97,8","0,609","12,93","40620,11942","44392,31249","13842,02"
Lagoa de Itaenga,2608503,itaenguense,MARIA DAS GRAÇAS DE ARRUDA SILVA,"56,131",21490,"360,65","98,9","0,602","16,23","45404,32059","48113,14103","14993,15"
Lagoa do Ouro,2608602,lagoa-do-ourense,EDSON LOPES CAVALCANTE,"198,762",13300,"61,04","96,5","0,525","11,63","39831,3521","37977,19886","8857,97"
Lagoa dos Gatos,2608701,lagoense,STÊNIO FERNANDES DE ALBUQUERQUE,"224,947",16345,"70,06","96,5","0,551",20,"33537,57979","31806,98877","8624,5"
Lagoa Grande,2608750,lagoa-grandense,VILMAR CAPPELLARO,"1850,07",26090,"12,31","96,3","0,597","7,75","61703,61177","52163,05827","12656,35"
Lajedo,2608800,lajedense,ADELMO DUARTE RIBEIRO,"189,096",40883,"193,7","97,9","0,611","13,8","90652,74929","84314,95585","11169,67"
Limoeiro,2608909,limoeirense,ORLANDO JORGE PEREIRA DE ANDRADE LIMA,"273,733",56149,"202,53",98,"0,663","10,77","106698,53232","146092,39064","13784,48"
Macaparana,2609006,macaparanense,PAULO BARBOSA DA SILVA,"108,049",25565,"221,43","97,9","0,609","16,67","53982,43522","55143,29435","9447,74"
Machados,2609105,machadense,JUAREZ RODRIGUES FERNANDES,"60,036",16549,"226,46","82,9","0,578","9,76","35035,57593","33552,6974","13380,62"
Manari,2609154,manariense,AUDALIO MARTINS DA SILVA JUNIOR,"344,725",22110,"47,56","93,4","0,487","14,81","47410,42905","46374,18875","5793,6"
Maraial,2609204,maraialense,SERGIO DA SILVA,"199,865",11098,"61,19","94,1","0,534","8,97","39732,20988","31597,95177","7628,78"
Mirandiba,2609303,mirandibense,ROSE CLÉA MAXIMO DE CARVALHO SÁ,"821,676",15548,"17,41","95,8","0,591","7,69","36929,46986","35416,67758","9878,16"
Moreno,2609402,morenense,EDMILSON CUPERTINO DE ALMEIDA,"196,073",63792,"289,16","95,8","0,652","15,71","107822,13706","97886,55647","10566,28"
Nazaré da Mata,2609501,nazareno,INACIO MANOEL DO NASCIMENTO,"130,572",32673,"204,95","96,1","0,662","7,44","54902,21008","57721,77206","16319,32"
Olinda,2609600,olindense,LUPERCIO CARLOS DO NASCIMENTO,"41,3",393734,"9063,58","96,9","0,735","10,46","627292,10974","564477,78381","14122,98"
Orobó,2609709,orobense,SEVERINO LUIZ PEREIRA DE ABREU,"138,662",23985,"164,99","97,2","0,61","15,09","58679,56725","54181,76825","13496,22"
