Município [-],Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018]
Sirinhaém,2614204,sirinhaense ou sirinhadoara,CAMILA MACHADO LEOCADIO LINS DOS SANTOS,"374,321",46845,"107,57","94,1","0,597","13,91","93842,43833","84293,05007","10824,5"
Moreilândia,2614303,moreirense,VICENTE TEIXEIRA SAMPAIO NETO,"404,287",11269,"27,52","96,8","0,6","31,45","32639,96161","33534,79318","7259,99"
Solidão,2614402,solidanense,DJALMA ALVES DE SOUZA,"138,398",6034,"41,5","96,9","0,585","24,39","22765,32282","19023,23919","7336,9"
Surubim,2614501,surubinense,ANA CÉLIA CABRAL DE FARIAS,"252,896",66192,"231,42","97,8","0,635","12,51","110620,90318","108333,5446","11683,83"
Tabira,2614600,tabirense,MARIA CLAUDENICE PEREIRA DE MELO CRISTOVAO,"390,434",28860,"68,11","97,2","0,605","10,78","54035,70347","53162,95659","9351,99"
Tacaimbó,2614709,tacaimboense,ALVARO ALCANTARA MARQUES DA SILVA,"227,601",12843,"55,91","94,4","0,554","17,05","28542,71907","25822,94591","12610,99"
Tacaratu,2614808,tacaratuense,WASHINGTON ANGELO DE ARAUJO,"1264,532",26439,"17,45","96,3","0,573","18,93","51205,88989","55955,89521","6818,94"
Tamandaré,2614857,tamandareense,ISAIAS HONORATO DA SILVA MARQUES,"213,75",23852,"96,66","95,5","0,593","11,74","65049,79581","62477,66377","12486,08"
Taquaritinga do Norte,2615003,taquaritinguense,IVANILDO MESTRE BEZERRA,"475,184",29472,"52,41","96,2","0,641","13,89","50818,96774","49121,45215","9871,23"
Terezinha,2615102,terezinhense,MATHEUS EMIDIO DE BARROS CALADO,"151,45",7227,"44,48","95,7","0,545","37,31","21604,02366","19867,65921","8646,15"
Terra Nova,2615201,terra-novense,ALINE CLEANNE FILGUEIRA FREIRE DE CARVALHO,"318,709",10314,"28,95","98,2","0,599",-,"27518,08336","23823,40346","6866,55"
Timbaúba,2615300,timbaubense,MARINALDO ROSENDO DE ALBUQUERQUE,"287,683",52587,"184,63","97,7","0,618","7,46","112343,98832","105483,28235","13378,85"
Toritama,2615409,toritamense,EDILSON TAVARES DE LIMA,"25,704",47088,"1383,21","91,5","0,618","7,1","83083,63642","76623,86499","14800,44"
Tracunhaém,2615508,tracunhaense,ALUIZIO XAVIER DA SILVA,"137,321",13856,"110,27",97,"0,605","10,7","30182,22942","27117,60582","8596,93"
Trindade,2615607,trindadense,HELBE DA SILVA RODRIGUES NASCIMENTO,"295,765",31103,"113,77","97,9","0,595","21,05","70901,81336","71749,18902","10451,1"
Triunfo,2615706,triunfense,LUCIANO FERNANDO DE SOUSA,"191,518",15232,"78,35","98,4","0,67","5,24","40748,33901","42441,73743","9305,72"
Tupanatinga,2615805,tupanatinguense,SEVERINO SOARES DOS SANTOS,"950,474",27793,"25,7",96,"0,519","25,94","58318,85729","54689,03625","6882,65"
Tuparetama,2615904,tuparetamense,DOMINGOS SÁVIO DA COSTA TORRES,"189,509",8266,"44,38","98,6","0,634","32,52","24446,26538","23864,86133","9611,67"
Venturosa,2616001,venturosense,EUDES TENORIO CAVALCANTI,"335,482",18835,"50,05","97,5","0,592","3,5","44512,02903","40869,5109","11783,13"
Verdejante,2616100,verdejantense,HAROLDO SILVA TAVARES,"476,039",9572,"19,2",95,"0,605","14,71","26578,73918","31719,74387","7186,55"
Vertente do Lério,2616183,vertentense do lério,RENATO LIMA DE SALES,"73,631",7526,"106,93","96,7","0,563",-,"24038,25447","22271,32297","7829,31"
Vertentes,2616209,vertentense,ROMERO LEAL FERREIRA,"196,325",21172,"92,82","94,1","0,582","13,79","51439,44604","38326,18208","7806,45"
Vicência,2616308,vicenciense,GUILHERME DE ALBUQUERQUE MELO NUNES,"228,017",32897,"134,78","95,6","0,605","12,92","80651,40542","67622,02953","10631,56"
Vitória de Santo Antão,2616407,vitoriense,PAULO ROBERTO LEITE DE ARRUDA,"335,942",140389,"348,8","96,9","0,64","12,1","299853,94132","243670,30247","26964,56"
Xexéu,2616506,xexeuense,THIAGO GONÇALVES DE LIMA,"110,815",14789,"127,18",95,"0,552",-,"40117,31428","38369,64097","8422,31"
,,,,,,,,,,,,
,,,,,,,,,,,,
Notas:,,,,,,,,,,,,
Escolarização 6 a 14 anos : [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100,,,,,,,,,,,,
População estimada: MOD_QUICK_FACTS_NOTA_POPESTIMADA_MUNICIPIO,,,,,,,,,,,,
Fontes:,,,,,,,,,,,,
"Área Territorial: Área territorial brasileira 2020. Rio de Janeiro: IBGE, 2021",,,,,,,,,,,,
"População estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2020",,,,,,,,,,,,
"Densidade demográfica: IBGE, Censo Demográfico 2010, Área territorial brasileira. Rio de Janeiro: IBGE, 2011",,,,,,,,,,,,
"Escolarização 6 a 14 anos : IBGE, Censo Demográfico 2010",,,,,,,,,,,,
IDHM Índice de desenvolvimento humano municipal : Programa das Nações Unidas para o Desenvolvimento - PNUD,,,,,,,,,,,,
"Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2017",,,,,,,,,,,,
"Receitas realizadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018",,,,,,,,,,,,
"Despesas empenhadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018",,,,,,,,,,,,
"PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA",,,,,,,,,,,,
