,Municipio,Codigo_IBGE,Populacao,Populacao_60+
439,Pirassununga,3539301,73706,13461
440,Piratininga,3539400,13213,2371
441,Pitangueiras,3539509,38584,4770
442,Planalto,3539608,5167,712
443,Platina,3539707,3501,572
444,Poá,3539806,115538,15261
445,Poloni,3539905,5667,1140
446,Pompéia,3540002,21282,3745
447,Pongaí,3540101,3351,793
448,Pontal,3540200,49283,4583
449,Pontalinda,3540259,4487,679
450,Pontes Gestal,3540309,2528,517
451,Populina,3540408,3995,926
452,Porangaba,3540507,9310,1838
453,Porto Feliz,3540606,51697,8064
454,Porto Ferreira,3540705,54102,8977
455,Potim,3540754,20702,2159
456,Potirendaba,3540804,16605,3085
457,Pracinha,3540853,2913,291
458,Pradópolis,3540903,20907,2717
459,Praia Grande,3541000,316844,47218
460,Pratânia,3541059,5156,629
461,Presidente Alves,3541109,4020,775
462,Presidente Bernardes,3541208,13720,2965
463,Presidente Epitácio,3541307,42400,6951
464,Presidente Prudente,3541406,221073,39118
465,Presidente Venceslau,3541505,38005,7295
466,Promissão,3541604,39667,6149
467,Quadra,3541653,3708,641
468,Quatá,3541703,13935,2058
469,Queiroz,3541802,3279,408
470,Queluz,3541901,12644,1688
471,Quintana,3542008,6500,1157
472,Rafard,3542107,8976,1373
473,Rancharia,3542206,28847,5081
474,Redenção da Serra,3542305,3837,763
475,Regente Feijó,3542404,19491,3435
476,Reginópolis,3542503,7215,1037
477,Registro,3542602,54216,8438
478,Restinga,3542701,7493,946
479,Ribeira,3542800,3242,633
480,Ribeirão Bonito,3542909,12959,1890
481,Ribeirão Branco,3543006,17685,2214
482,Ribeirão Corrente,3543105,4664,655
483,Ribeirão do Sul,3543204,4360,892
484,Ribeirão dos Índios,3543238,2141,503
485,Ribeirão Grande,3543253,7510,1162
486,Ribeirão Pires,3543303,118968,19424
487,Ribeirão Preto,3543402,683777,110330
488,Riversul,3543501,5705,1113
489,Rifaina,3543600,3468,669
490,Rincão,3543709,10496,1642
491,Rinópolis,3543808,9720,2130
492,Rio Claro,3543907,201212,33922
