Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,5107,2630,2477
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,5048,2782,2266
Abadia De Goiás,520005,GO,Centro-Oeste,PFIZER/BIONTECH,2597,2030,567
Abadia De Goiás,520005,GO,Centro-Oeste,JANSSEN,66,0,0
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5239,2716,2523
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,2394,1236,1158
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,2387,1574,813
Abadia Dos Dourados,310010,MG,Sudeste,JANSSEN,126,0,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11692,6298,5394
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,5456,2997,2459
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,4764,3135,1629
Abadiânia,520010,GO,Centro-Oeste,JANSSEN,322,0,0
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,12563,6717,5846
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,11065,5812,5253
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,8445,5955,2490
Abaeté,310020,MG,Sudeste,JANSSEN,498,0,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,143217,81074,62143
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,28776,16145,12631
Abaetetuba,150010,PA,Norte,PFIZER/BIONTECH,18070,14632,3438
Abaetetuba,150010,PA,Norte,JANSSEN,1931,0,0
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,1399,826,573
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,418,272,146
Abaiara,230010,CE,Nordeste,PFIZER/BIONTECH,17,17,0
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,7659,3997,3662
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,3310,1657,1653
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,1535,1141,394
Abaíra,290010,BA,Nordeste,JANSSEN,39,0,0
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,8835,4541,4294
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,7565,3889,3676
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,7041,4794,2247
Abaré,290020,BA,Nordeste,JANSSEN,273,0,0
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,5750,2938,2812
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,2962,1495,1467
Abatiá,410010,PR,Sul,PFIZER/BIONTECH,2300,1408,892
Abatiá,410010,PR,Sul,JANSSEN,176,0,0
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,2048,1023,1025
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,1372,716,656
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,1365,754,611
Abdon Batista,420005,SC,Sul,JANSSEN,85,0,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,3708,2071,1637
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,2262,1310,952
Abel Figueiredo,150013,PA,Norte,PFIZER/BIONTECH,759,749,10
Abel Figueiredo,150013,PA,Norte,JANSSEN,166,0,0
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,10038,5159,4879
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,6231,4075,2156
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,6049,3167,2882
Abelardo Luz,420010,SC,Sul,JANSSEN,601,0,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,7741,4062,3679
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,5134,3838,1296
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,5049,2600,2449
Abre Campo,310030,MG,Sudeste,JANSSEN,440,0,0
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,51260,27700,23560
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,40742,28314,12428
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,32263,17705,14558
Abreu E Lima,260005,PE,Nordeste,JANSSEN,965,0,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,2036,1159,877
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,632,333,299
Abreulândia,170025,TO,Norte,PFIZER/BIONTECH,422,356,66
Abreulândia,170025,TO,Norte,JANSSEN,45,0,0
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3133,1773,1360
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1406,722,684
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,1234,951,283
Acaiaca,310040,MG,Sudeste,JANSSEN,69,0,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,47132,28417,18715
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,38468,26085,12383
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,16970,9402,7568
Açailândia,210005,MA,Nordeste,JANSSEN,2879,0,0
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,4223,2349,1874
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,3589,2887,702
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,3494,1993,1501
Acajutiba,290030,BA,Nordeste,JANSSEN,206,0,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,28607,21423,7184
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,9511,5360,4151
Acará,150020,PA,Norte,PFIZER/BIONTECH,2540,2503,37
Acará,150020,PA,Norte,JANSSEN,1128,0,0
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,2588,1345,1243
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,765,405,360
Acarape,230015,CE,Nordeste,PFIZER/BIONTECH,8,2,6
Acarape,230015,CE,Nordeste,JANSSEN,4,0,0
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,8517,4380,4137
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,6641,3598,3043
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,98,72,26
Acaraú,230020,CE,Nordeste,JANSSEN,11,0,0
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,5356,2789,2567
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,4258,2794,1464
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,3759,1919,1840
Acari,240010,RN,Nordeste,JANSSEN,161,0,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,4784,2444,2340
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,2904,1844,1060
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,2072,1039,1033
Acauã,220005,PI,Nordeste,JANSSEN,140,0,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,4430,2565,1865
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1514,730,784
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,1185,740,445
Aceguá,430003,RS,Sul,JANSSEN,141,0,0
Acopiara,230030,CE,Nordeste,BUTANTAN/SINOVAC,10294,5247,5047
Acopiara,230030,CE,Nordeste,FIOCRUZ/ASTRAZENECA,6055,3608,2447
Acopiara,230030,CE,Nordeste,PFIZER/BIONTECH,51,2,49
Acorizal,510010,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3579,1814,1765
Acorizal,510010,MT,Centro-Oeste,PFIZER/BIONTECH,2175,1459,716
Acorizal,510010,MT,Centro-Oeste,BUTANTAN/SINOVAC,2127,1128,999
Acorizal,510010,MT,Centro-Oeste,JANSSEN,120,0,0
Acrelândia,120001,AC,Norte,FIOCRUZ/ASTRAZENECA,7519,3979,3540
Acrelândia,120001,AC,Norte,PFIZER/BIONTECH,3924,2533,1391
Acrelândia,120001,AC,Norte,BUTANTAN/SINOVAC,2804,1688,1116
Acrelândia,120001,AC,Norte,JANSSEN,205,0,0
Acreúna,520013,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,12212,6396,5816
Acreúna,520013,GO,Centro-Oeste,PFIZER/BIONTECH,8126,6217,1909
Acreúna,520013,GO,Centro-Oeste,BUTANTAN/SINOVAC,6654,3601,3053
Acreúna,520013,GO,Centro-Oeste,JANSSEN,394,0,0
Açu,240020,RN,Nordeste,FIOCRUZ/ASTRAZENECA,27928,15994,11934
Açu,240020,RN,Nordeste,PFIZER/BIONTECH,19617,12481,7136
Açu,240020,RN,Nordeste,BUTANTAN/SINOVAC,17478,9850,7628
Açu,240020,RN,Nordeste,JANSSEN,875,54,0
Açucena,310050,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5600,3036,2564
Açucena,310050,MG,Sudeste,PFIZER/BIONTECH,3356,2242,1114
Açucena,310050,MG,Sudeste,BUTANTAN/SINOVAC,3247,1759,1488
Açucena,310050,MG,Sudeste,JANSSEN,279,0,0
Adamantina,350010,SP,Sudeste,FIOCRUZ/ASTRAZENECA,25535,13972,11563
Adamantina,350010,SP,Sudeste,BUTANTAN/SINOVAC,20222,10022,10200
Adamantina,350010,SP,Sudeste,PFIZER/BIONTECH,12048,5615,6433
Adamantina,350010,SP,Sudeste,JANSSEN,900,0,0
Adelândia,520015,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1336,813,523
Adelândia,520015,GO,Centro-Oeste,BUTANTAN/SINOVAC,698,415,283
Adelândia,520015,GO,Centro-Oeste,PFIZER/BIONTECH,611,541,70
Adelândia,520015,GO,Centro-Oeste,JANSSEN,16,0,0
Adolfo,350020,SP,Sudeste,BUTANTAN/SINOVAC,2929,1450,1479
Adolfo,350020,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2884,1435,1449
Adolfo,350020,SP,Sudeste,PFIZER/BIONTECH,1709,883,826
Adolfo,350020,SP,Sudeste,JANSSEN,77,0,0
Adrianópolis,410020,PR,Sul,FIOCRUZ/ASTRAZENECA,4524,2609,1915
Adrianópolis,410020,PR,Sul,BUTANTAN/SINOVAC,2551,1338,1213
Adrianópolis,410020,PR,Sul,PFIZER/BIONTECH,1596,1221,375
Adrianópolis,410020,PR,Sul,JANSSEN,75,0,0
Adustina,290035,BA,Nordeste,FIOCRUZ/ASTRAZENECA,10467,5338,5129
Adustina,290035,BA,Nordeste,PFIZER/BIONTECH,5472,3774,1698
Adustina,290035,BA,Nordeste,BUTANTAN/SINOVAC,5457,2811,2646
Adustina,290035,BA,Nordeste,JANSSEN,200,0,0
Afogados Da Ingazeira,260010,PE,Nordeste,FIOCRUZ/ASTRAZENECA,18968,10051,8917
Afogados Da Ingazeira,260010,PE,Nordeste,BUTANTAN/SINOVAC,14591,7944,6647
Afogados Da Ingazeira,260010,PE,Nordeste,PFIZER/BIONTECH,12571,8485,4086
Afogados Da Ingazeira,260010,PE,Nordeste,JANSSEN,3678,0,0
Afonso Bezerra,240030,RN,Nordeste,FIOCRUZ/ASTRAZENECA,4470,2507,1963
Afonso Bezerra,240030,RN,Nordeste,PFIZER/BIONTECH,3291,2174,1117
Afonso Bezerra,240030,RN,Nordeste,BUTANTAN/SINOVAC,3086,1668,1418
Afonso Bezerra,240030,RN,Nordeste,JANSSEN,98,1,0
Afonso Cláudio,320010,ES,Sudeste,FIOCRUZ/ASTRAZENECA,17140,9266,7874
Afonso Cláudio,320010,ES,Sudeste,BUTANTAN/SINOVAC,13766,7475,6291
Afonso Cláudio,320010,ES,Sudeste,PFIZER/BIONTECH,11702,7596,4106
Afonso Cláudio,320010,ES,Sudeste,JANSSEN,1197,0,0
Afonso Cunha,210010,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2900,1636,1264
Afonso Cunha,210010,MA,Nordeste,BUTANTAN/SINOVAC,2388,1261,1127
Afonso Cunha,210010,MA,Nordeste,PFIZER/BIONTECH,1665,1343,322
Afonso Cunha,210010,MA,Nordeste,JANSSEN,1596,0,0
Afrânio,260020,PE,Nordeste,FIOCRUZ/ASTRAZENECA,10067,5789,4278
Afrânio,260020,PE,Nordeste,PFIZER/BIONTECH,8221,4906,3315
Afrânio,260020,PE,Nordeste,BUTANTAN/SINOVAC,6872,3670,3202
Afrânio,260020,PE,Nordeste,JANSSEN,131,0,0
Afuá,150030,PA,Norte,FIOCRUZ/ASTRAZENECA,29758,20190,9568
Afuá,150030,PA,Norte,BUTANTAN/SINOVAC,2316,1179,1137
Afuá,150030,PA,Norte,PFIZER/BIONTECH,2282,1630,652
Afuá,150030,PA,Norte,JANSSEN,463,0,0
Agrestina,260030,PE,Nordeste,FIOCRUZ/ASTRAZENECA,13480,7891,5589
Agrestina,260030,PE,Nordeste,BUTANTAN/SINOVAC,7962,4442,3520
Agrestina,260030,PE,Nordeste,PFIZER/BIONTECH,7231,5568,1663
Agrestina,260030,PE,Nordeste,JANSSEN,194,0,0
Agricolândia,220010,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3163,1660,1503
Agricolândia,220010,PI,Nordeste,BUTANTAN/SINOVAC,2202,1181,1021
Agricolândia,220010,PI,Nordeste,PFIZER/BIONTECH,1967,1297,670
Agricolândia,220010,PI,Nordeste,JANSSEN,75,0,0
Agrolândia,420020,SC,Sul,FIOCRUZ/ASTRAZENECA,5867,2975,2892
Agrolândia,420020,SC,Sul,PFIZER/BIONTECH,4837,2941,1896
Agrolândia,420020,SC,Sul,BUTANTAN/SINOVAC,3780,1933,1847
Agrolândia,420020,SC,Sul,JANSSEN,415,0,0
Agronômica,420030,SC,Sul,FIOCRUZ/ASTRAZENECA,3369,1720,1649
Agronômica,420030,SC,Sul,PFIZER/BIONTECH,2517,1537,980
Agronômica,420030,SC,Sul,BUTANTAN/SINOVAC,1964,1005,959
Agronômica,420030,SC,Sul,JANSSEN,243,0,0
Água Azul Do Norte,150034,PA,Norte,FIOCRUZ/ASTRAZENECA,8762,4722,4040
Água Azul Do Norte,150034,PA,Norte,BUTANTAN/SINOVAC,3654,2174,1480
Água Azul Do Norte,150034,PA,Norte,PFIZER/BIONTECH,1469,934,535
Água Azul Do Norte,150034,PA,Norte,JANSSEN,484,0,0
Água Boa,310060,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6567,3496,3071
Água Boa,310060,MG,Sudeste,PFIZER/BIONTECH,5661,3919,1742
Água Boa,310060,MG,Sudeste,BUTANTAN/SINOVAC,4298,2222,2076
Água Boa,310060,MG,Sudeste,JANSSEN,269,0,0
Água Boa,510020,MT,Centro-Oeste,PFIZER/BIONTECH,12018,7451,4567
Água Boa,510020,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,11928,6114,5814
Água Boa,510020,MT,Centro-Oeste,BUTANTAN/SINOVAC,11617,6139,5478
Água Boa,510020,MT,Centro-Oeste,JANSSEN,705,0,0
Água Branca,220020,PI,Nordeste,FIOCRUZ/ASTRAZENECA,9981,5355,4626
Água Branca,220020,PI,Nordeste,BUTANTAN/SINOVAC,6484,3478,3006
Água Branca,220020,PI,Nordeste,PFIZER/BIONTECH,6217,4654,1563
Água Branca,220020,PI,Nordeste,JANSSEN,310,0,0
Água Branca,250010,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4821,2501,2320
Água Branca,250010,PB,Nordeste,BUTANTAN/SINOVAC,3866,2024,1842
Água Branca,250010,PB,Nordeste,PFIZER/BIONTECH,3525,2590,935
Água Branca,250010,PB,Nordeste,JANSSEN,177,0,0
Água Branca,270010,AL,Nordeste,FIOCRUZ/ASTRAZENECA,11976,7151,4825
Água Branca,270010,AL,Nordeste,BUTANTAN/SINOVAC,8654,4447,4207
Água Branca,270010,AL,Nordeste,PFIZER/BIONTECH,2065,2047,18
Água Branca,270010,AL,Nordeste,JANSSEN,714,0,0
Água Clara,500020,MS,Centro-Oeste,BUTANTAN/SINOVAC,7960,4442,3518
Água Clara,500020,MS,Centro-Oeste,PFIZER/BIONTECH,6888,4540,2348
Água Clara,500020,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,6548,3704,2844
Água Clara,500020,MS,Centro-Oeste,JANSSEN,778,0,0
Água Comprida,310070,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1371,689,682
Água Comprida,310070,MG,Sudeste,BUTANTAN/SINOVAC,1044,527,517
Água Comprida,310070,MG,Sudeste,PFIZER/BIONTECH,969,593,376
Água Comprida,310070,MG,Sudeste,JANSSEN,40,0,0
Água Doce,420040,SC,Sul,FIOCRUZ/ASTRAZENECA,4322,2201,2121
Água Doce,420040,SC,Sul,BUTANTAN/SINOVAC,2589,1355,1234
Água Doce,420040,SC,Sul,PFIZER/BIONTECH,2446,1668,778
Água Doce,420040,SC,Sul,JANSSEN,224,0,0
Água Doce Do Maranhão,210015,MA,Nordeste,PFIZER/BIONTECH,5490,3962,1528
Água Doce Do Maranhão,210015,MA,Nordeste,FIOCRUZ/ASTRAZENECA,5107,2906,2201
Água Doce Do Maranhão,210015,MA,Nordeste,BUTANTAN/SINOVAC,3600,1947,1653
Água Doce Do Maranhão,210015,MA,Nordeste,JANSSEN,96,0,0
Água Doce Do Norte,320016,ES,Sudeste,FIOCRUZ/ASTRAZENECA,5462,2912,2550
Água Doce Do Norte,320016,ES,Sudeste,PFIZER/BIONTECH,5001,3353,1648
Água Doce Do Norte,320016,ES,Sudeste,BUTANTAN/SINOVAC,4930,2668,2262
Água Doce Do Norte,320016,ES,Sudeste,JANSSEN,352,0,0
Água Fria,290040,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3326,3193,133
Água Fria,290040,BA,Nordeste,BUTANTAN/SINOVAC,3309,2185,1124
Água Fria,290040,BA,Nordeste,PFIZER/BIONTECH,2836,2794,42
Água Fria,290040,BA,Nordeste,JANSSEN,154,0,0
Água Fria De Goiás,520017,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3562,1916,1646
Água Fria De Goiás,520017,GO,Centro-Oeste,PFIZER/BIONTECH,1941,1351,590
Água Fria De Goiás,520017,GO,Centro-Oeste,BUTANTAN/SINOVAC,1322,681,641
Água Fria De Goiás,520017,GO,Centro-Oeste,JANSSEN,89,0,0
Água Limpa,520020,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1631,846,785
Água Limpa,520020,GO,Centro-Oeste,BUTANTAN/SINOVAC,746,380,366
Água Limpa,520020,GO,Centro-Oeste,PFIZER/BIONTECH,411,323,88
Água Limpa,520020,GO,Centro-Oeste,JANSSEN,10,0,0
Água Nova,240040,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1855,928,927
Água Nova,240040,RN,Nordeste,BUTANTAN/SINOVAC,1491,750,741
Água Nova,240040,RN,Nordeste,PFIZER/BIONTECH,1401,1022,379
Água Nova,240040,RN,Nordeste,JANSSEN,61,0,0
Água Preta,260040,PE,Nordeste,FIOCRUZ/ASTRAZENECA,11897,7850,4047
Água Preta,260040,PE,Nordeste,PFIZER/BIONTECH,9415,6120,3295
Água Preta,260040,PE,Nordeste,BUTANTAN/SINOVAC,6007,3396,2611
Água Preta,260040,PE,Nordeste,JANSSEN,257,0,0
Água Santa,430005,RS,Sul,FIOCRUZ/ASTRAZENECA,2361,1239,1122
Água Santa,430005,RS,Sul,PFIZER/BIONTECH,1508,917,591
Água Santa,430005,RS,Sul,BUTANTAN/SINOVAC,1427,777,650
Água Santa,430005,RS,Sul,JANSSEN,85,0,0
Aguaí,350030,SP,Sudeste,BUTANTAN/SINOVAC,20327,10438,9889
Aguaí,350030,SP,Sudeste,FIOCRUZ/ASTRAZENECA,20063,10143,9920
Aguaí,350030,SP,Sudeste,PFIZER/BIONTECH,12946,7107,5839
Aguaí,350030,SP,Sudeste,JANSSEN,1061,0,0
Aguanil,310080,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3101,1584,1517
Aguanil,310080,MG,Sudeste,BUTANTAN/SINOVAC,1929,964,965
Aguanil,310080,MG,Sudeste,PFIZER/BIONTECH,1903,1206,697
Aguanil,310080,MG,Sudeste,JANSSEN,105,0,0
Águas Belas,260050,PE,Nordeste,FIOCRUZ/ASTRAZENECA,25258,13371,11887
Águas Belas,260050,PE,Nordeste,BUTANTAN/SINOVAC,15407,7986,7421
Águas Belas,260050,PE,Nordeste,PFIZER/BIONTECH,13408,8597,4811
Águas Belas,260050,PE,Nordeste,JANSSEN,377,0,0
Águas Da Prata,350040,SP,Sudeste,FIOCRUZ/ASTRAZENECA,6433,3184,3249
Águas Da Prata,350040,SP,Sudeste,BUTANTAN/SINOVAC,4299,2117,2182
Águas Da Prata,350040,SP,Sudeste,PFIZER/BIONTECH,2582,1380,1202
Águas Da Prata,350040,SP,Sudeste,JANSSEN,203,0,0
Águas De Chapecó,420050,SC,Sul,FIOCRUZ/ASTRAZENECA,3968,2078,1890
Águas De Chapecó,420050,SC,Sul,BUTANTAN/SINOVAC,2217,1114,1103
Águas De Chapecó,420050,SC,Sul,PFIZER/BIONTECH,2169,1391,778
Águas De Chapecó,420050,SC,Sul,JANSSEN,215,0,0
Águas De Lindóia,350050,SP,Sudeste,BUTANTAN/SINOVAC,12976,6634,6342
Águas De Lindóia,350050,SP,Sudeste,FIOCRUZ/ASTRAZENECA,11952,6396,5556
Águas De Lindóia,350050,SP,Sudeste,PFIZER/BIONTECH,7109,3669,3440
Águas De Lindóia,350050,SP,Sudeste,JANSSEN,492,0,0
Águas De Santa Bárbara,350055,SP,Sudeste,FIOCRUZ/ASTRAZENECA,3906,1956,1950
Águas De Santa Bárbara,350055,SP,Sudeste,BUTANTAN/SINOVAC,3716,1849,1867
Águas De Santa Bárbara,350055,SP,Sudeste,PFIZER/BIONTECH,2309,1489,820
Águas De Santa Bárbara,350055,SP,Sudeste,JANSSEN,134,0,0
Águas De São Pedro,350060,SP,Sudeste,BUTANTAN/SINOVAC,2817,1403,1414
Águas De São Pedro,350060,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2784,1358,1426
Águas De São Pedro,350060,SP,Sudeste,PFIZER/BIONTECH,1336,709,627
Águas De São Pedro,350060,SP,Sudeste,JANSSEN,79,0,0
Águas Formosas,310090,MG,Sudeste,FIOCRUZ/ASTRAZENECA,8497,5165,3332
Águas Formosas,310090,MG,Sudeste,BUTANTAN/SINOVAC,5807,3052,2755
Águas Formosas,310090,MG,Sudeste,PFIZER/BIONTECH,5484,4500,984
Águas Formosas,310090,MG,Sudeste,JANSSEN,420,0,0
Águas Frias,420055,SC,Sul,FIOCRUZ/ASTRAZENECA,1787,902,885
Águas Frias,420055,SC,Sul,BUTANTAN/SINOVAC,1408,704,704
Águas Frias,420055,SC,Sul,PFIZER/BIONTECH,1154,685,469
Águas Frias,420055,SC,Sul,JANSSEN,85,0,0
Águas Lindas De Goiás,520025,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,119535,71525,48010
Águas Lindas De Goiás,520025,GO,Centro-Oeste,BUTANTAN/SINOVAC,99234,56255,42979
Águas Lindas De Goiás,520025,GO,Centro-Oeste,JANSSEN,10699,0,0
Águas Lindas De Goiás,520025,GO,Centro-Oeste,PFIZER/BIONTECH,10174,9993,181
Águas Mornas,420060,SC,Sul,FIOCRUZ/ASTRAZENECA,4467,2260,2207
Águas Mornas,420060,SC,Sul,BUTANTAN/SINOVAC,2698,1408,1290
Águas Mornas,420060,SC,Sul,PFIZER/BIONTECH,2591,1520,1071
Águas Mornas,420060,SC,Sul,JANSSEN,230,0,0
Águas Vermelhas,310100,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6480,3450,3030
Águas Vermelhas,310100,MG,Sudeste,PFIZER/BIONTECH,4423,2941,1482
Águas Vermelhas,310100,MG,Sudeste,BUTANTAN/SINOVAC,3959,2070,1889
Águas Vermelhas,310100,MG,Sudeste,JANSSEN,203,0,0
Agudo,430010,RS,Sul,FIOCRUZ/ASTRAZENECA,10864,5645,5219
Agudo,430010,RS,Sul,PFIZER/BIONTECH,6560,4300,2260
Agudo,430010,RS,Sul,BUTANTAN/SINOVAC,5286,2765,2521
Agudo,430010,RS,Sul,JANSSEN,441,0,0
Agudos,350070,SP,Sudeste,BUTANTAN/SINOVAC,26118,13468,12650
Agudos,350070,SP,Sudeste,FIOCRUZ/ASTRAZENECA,24612,13528,11084
Agudos,350070,SP,Sudeste,PFIZER/BIONTECH,14059,8066,5993
Agudos,350070,SP,Sudeste,JANSSEN,892,0,0
Agudos Do Sul,410030,PR,Sul,FIOCRUZ/ASTRAZENECA,6872,3911,2961
Agudos Do Sul,410030,PR,Sul,PFIZER/BIONTECH,3234,2283,951
Agudos Do Sul,410030,PR,Sul,BUTANTAN/SINOVAC,3151,1682,1469
Agudos Do Sul,410030,PR,Sul,JANSSEN,555,0,0
Águia Branca,320013,ES,Sudeste,FIOCRUZ/ASTRAZENECA,5448,2809,2639
Águia Branca,320013,ES,Sudeste,PFIZER/BIONTECH,4874,3105,1769
Águia Branca,320013,ES,Sudeste,BUTANTAN/SINOVAC,4021,2140,1881
Águia Branca,320013,ES,Sudeste,JANSSEN,348,0,0
Aguiar,250020,PB,Nordeste,FIOCRUZ/ASTRAZENECA,3274,1731,1543
Aguiar,250020,PB,Nordeste,BUTANTAN/SINOVAC,2132,1124,1008
Aguiar,250020,PB,Nordeste,PFIZER/BIONTECH,1729,1203,526
Aguiar,250020,PB,Nordeste,JANSSEN,80,0,0
Aguiarnópolis,170030,TO,Norte,FIOCRUZ/ASTRAZENECA,2631,1492,1139
Aguiarnópolis,170030,TO,Norte,BUTANTAN/SINOVAC,1380,763,617
Aguiarnópolis,170030,TO,Norte,PFIZER/BIONTECH,933,722,211
Aguiarnópolis,170030,TO,Norte,JANSSEN,900,0,0
Aimorés,310110,MG,Sudeste,FIOCRUZ/ASTRAZENECA,15838,9319,6519
Aimorés,310110,MG,Sudeste,BUTANTAN/SINOVAC,7523,3794,3729
Aimorés,310110,MG,Sudeste,PFIZER/BIONTECH,6603,4593,2010
Aimorés,310110,MG,Sudeste,JANSSEN,655,0,0
Aiquara,290060,BA,Nordeste,FIOCRUZ/ASTRAZENECA,2386,1251,1135
Aiquara,290060,BA,Nordeste,BUTANTAN/SINOVAC,1725,878,847
Aiquara,290060,BA,Nordeste,PFIZER/BIONTECH,1609,1020,589
Aiquara,290060,BA,Nordeste,JANSSEN,55,0,0
Aiuaba,230040,CE,Nordeste,BUTANTAN/SINOVAC,3408,1922,1486
Aiuaba,230040,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2287,1516,771
Aiuaba,230040,CE,Nordeste,PFIZER/BIONTECH,205,203,2
Aiuruoca,310120,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3843,2022,1821
Aiuruoca,310120,MG,Sudeste,BUTANTAN/SINOVAC,3068,1604,1464
Aiuruoca,310120,MG,Sudeste,PFIZER/BIONTECH,2303,1714,589
Aiuruoca,310120,MG,Sudeste,JANSSEN,78,0,0
Ajuricaba,430020,RS,Sul,FIOCRUZ/ASTRAZENECA,4245,2177,2068
Ajuricaba,430020,RS,Sul,BUTANTAN/SINOVAC,3161,1666,1495
Ajuricaba,430020,RS,Sul,PFIZER/BIONTECH,2407,1654,753
Ajuricaba,430020,RS,Sul,JANSSEN,201,0,0
Alagoa,310130,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2088,1039,1049
Alagoa,310130,MG,Sudeste,PFIZER/BIONTECH,1134,699,435
