Municipio,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3720,2634,1086
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,3273,1783,1490
Abadia De Goiás,520005,GO,Centro-Oeste,PFIZER/BIONTECH,1568,1568,0
Abadia De Goiás,520005,GO,Centro-Oeste,JANSSEN,65,0,0
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3624,2711,913
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,1939,1138,801
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,1097,1097,0
Abadia Dos Dourados,310010,MG,Sudeste,JANSSEN,126,0,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,9013,6202,2811
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,4774,2797,1977
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,2680,2670,10
Abadiânia,520010,GO,Centro-Oeste,JANSSEN,321,0,0
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,10927,6700,4227
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,7490,4066,3424
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,4470,4303,167
Abaeté,310020,MG,Sudeste,JANSSEN,498,0,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,94015,79410,14605
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,18187,9741,8446
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,1397,825,572
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,406,267,139
Abaiara,230010,CE,Nordeste,PFIZER/BIONTECH,17,17,0
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,6954,3977,2977
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,3219,1646,1573
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,994,986,8
Abaíra,290010,BA,Nordeste,JANSSEN,39,0,0
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,7245,4517,2728
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,6499,3588,2911
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,3462,3410,52
Abaré,290020,BA,Nordeste,JANSSEN,220,0,0
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,4383,2925,1458
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,2517,1404,1113
Abatiá,410010,PR,Sul,PFIZER/BIONTECH,1032,1032,0
Abatiá,410010,PR,Sul,JANSSEN,176,0,0
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,1772,1023,749
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,1210,666,544
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,604,604,0
Abdon Batista,420005,SC,Sul,JANSSEN,85,0,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,2717,2013,704
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,1173,879,294
Abel Figueiredo,150013,PA,Norte,JANSSEN,166,0,0
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,7594,5126,2468
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,4716,2796,1920
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,2665,2664,1
Abelardo Luz,420010,SC,Sul,JANSSEN,601,0,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6097,4017,2080
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,4438,2461,1977
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,2778,2776,2
Abre Campo,310030,MG,Sudeste,JANSSEN,439,0,0
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,33753,26624,7129
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,28596,16573,12023
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,18258,18084,174
Abreu E Lima,260005,PE,Nordeste,JANSSEN,913,0,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,1684,1138,546
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,570,305,265
Abreulândia,170025,TO,Norte,PFIZER/BIONTECH,137,137,0
Abreulândia,170025,TO,Norte,JANSSEN,45,0,0
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2529,1716,813
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1215,660,555
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,596,594,2
Acaiaca,310040,MG,Sudeste,JANSSEN,33,0,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,39292,28056,11236
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,19000,18972,28
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,14864,8218,6646
Açailândia,210005,MA,Nordeste,JANSSEN,2872,0,0
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,2733,1865,868
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,1965,1150,815
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,1598,1591,7
Acajutiba,290030,BA,Nordeste,JANSSEN,104,0,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,19266,16367,2899
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,7724,4328,3396
Acará,150020,PA,Norte,JANSSEN,1126,0,0
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,2578,1343,1235
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,526,294,232
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,8308,4306,4002
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,5308,3019,2289
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,48,48,0
Acaraú,230020,CE,Nordeste,JANSSEN,6,0,0
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,4037,2712,1325
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,3152,1790,1362
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,2160,2104,56
Acari,240010,RN,Nordeste,JANSSEN,156,0,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3476,2430,1046
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,1758,1010,748
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,1166,1162,4
Acauã,220005,PI,Nordeste,JANSSEN,140,0,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,3749,2514,1235
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1506,726,780
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,663,582,81
Aceguá,430003,RS,Sul,JANSSEN,137,0,0
Acopiara,230030,CE,Nordeste,BUTANTAN/SINOVAC,10234,5226,5008
Acopiara,230030,CE,Nordeste,FIOCRUZ/ASTRAZENECA,5925,3582,2343
Acopiara,230030,CE,Nordeste,PFIZER/BIONTECH,3,1,2
Acorizal,510010,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2657,1786,871
Acorizal,510010,MT,Centro-Oeste,BUTANTAN/SINOVAC,1733,897,836
Acorizal,510010,MT,Centro-Oeste,PFIZER/BIONTECH,736,736,0
Acorizal,510010,MT,Centro-Oeste,JANSSEN,120,0,0
Acrelândia,120001,AC,Norte,FIOCRUZ/ASTRAZENECA,6792,3965,2827
Acrelândia,120001,AC,Norte,PFIZER/BIONTECH,2247,2150,97
Acrelândia,120001,AC,Norte,BUTANTAN/SINOVAC,2036,1256,780
Acrelândia,120001,AC,Norte,JANSSEN,203,0,0
Acreúna,520013,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,9276,6382,2894
Acreúna,520013,GO,Centro-Oeste,BUTANTAN/SINOVAC,5364,3079,2285
Acreúna,520013,GO,Centro-Oeste,PFIZER/BIONTECH,3665,3643,22
Acreúna,520013,GO,Centro-Oeste,JANSSEN,394,0,0
Açu,240020,RN,Nordeste,FIOCRUZ/ASTRAZENECA,22576,15440,7136
Açu,240020,RN,Nordeste,BUTANTAN/SINOVAC,13155,7736,5419
Açu,240020,RN,Nordeste,PFIZER/BIONTECH,9113,8815,298
Açu,240020,RN,Nordeste,JANSSEN,864,54,0
Açucena,310050,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4133,2979,1154
Açucena,310050,MG,Sudeste,BUTANTAN/SINOVAC,2830,1594,1236
Açucena,310050,MG,Sudeste,PFIZER/BIONTECH,1467,1465,2
Açucena,310050,MG,Sudeste,JANSSEN,279,0,0
Adamantina,350010,SP,Sudeste,FIOCRUZ/ASTRAZENECA,20532,13908,6624
Adamantina,350010,SP,Sudeste,BUTANTAN/SINOVAC,18765,9755,9010
Adamantina,350010,SP,Sudeste,PFIZER/BIONTECH,4279,4265,14
Adamantina,350010,SP,Sudeste,JANSSEN,873,0,0
Adelândia,520015,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1118,809,309
Adelândia,520015,GO,Centro-Oeste,BUTANTAN/SINOVAC,557,338,219
Adelândia,520015,GO,Centro-Oeste,PFIZER/BIONTECH,347,347,0
Adelândia,520015,GO,Centro-Oeste,JANSSEN,16,0,0
Adolfo,350020,SP,Sudeste,BUTANTAN/SINOVAC,2475,1320,1155
Adolfo,350020,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2283,1430,853
Adolfo,350020,SP,Sudeste,PFIZER/BIONTECH,680,650,30
Adolfo,350020,SP,Sudeste,JANSSEN,79,0,0
Adrianópolis,410020,PR,Sul,FIOCRUZ/ASTRAZENECA,3940,2590,1350
Adrianópolis,410020,PR,Sul,BUTANTAN/SINOVAC,2349,1254,1095
Adrianópolis,410020,PR,Sul,PFIZER/BIONTECH,650,649,1
Adrianópolis,410020,PR,Sul,JANSSEN,75,0,0
Adustina,290035,BA,Nordeste,FIOCRUZ/ASTRAZENECA,9053,5335,3718
Adustina,290035,BA,Nordeste,BUTANTAN/SINOVAC,4560,2607,1953
Adustina,290035,BA,Nordeste,PFIZER/BIONTECH,2685,2660,25
Adustina,290035,BA,Nordeste,JANSSEN,200,0,0
Afogados Da Ingazeira,260010,PE,Nordeste,FIOCRUZ/ASTRAZENECA,14421,9194,5227
Afogados Da Ingazeira,260010,PE,Nordeste,BUTANTAN/SINOVAC,12133,7108,5025
Afogados Da Ingazeira,260010,PE,Nordeste,PFIZER/BIONTECH,6395,6081,314
Afogados Da Ingazeira,260010,PE,Nordeste,JANSSEN,3527,0,0
Afonso Bezerra,240030,RN,Nordeste,FIOCRUZ/ASTRAZENECA,3467,2467,1000
Afonso Bezerra,240030,RN,Nordeste,BUTANTAN/SINOVAC,2264,1252,1012
Afonso Bezerra,240030,RN,Nordeste,PFIZER/BIONTECH,1272,1230,42
Afonso Bezerra,240030,RN,Nordeste,JANSSEN,99,1,0
Afonso Cláudio,320010,ES,Sudeste,FIOCRUZ/ASTRAZENECA,15123,9035,6088
Afonso Cláudio,320010,ES,Sudeste,BUTANTAN/SINOVAC,11582,6256,5326
Afonso Cláudio,320010,ES,Sudeste,PFIZER/BIONTECH,5533,5173,360
Afonso Cláudio,320010,ES,Sudeste,JANSSEN,1041,0,0
Afonso Cunha,210010,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2352,1611,741
Afonso Cunha,210010,MA,Nordeste,BUTANTAN/SINOVAC,2053,1076,977
Afonso Cunha,210010,MA,Nordeste,JANSSEN,1596,0,0
Afonso Cunha,210010,MA,Nordeste,PFIZER/BIONTECH,512,512,0
Afrânio,260020,PE,Nordeste,FIOCRUZ/ASTRAZENECA,8964,5712,3252
Afrânio,260020,PE,Nordeste,BUTANTAN/SINOVAC,4936,2899,2037
Afrânio,260020,PE,Nordeste,PFIZER/BIONTECH,3315,3213,102
Afrânio,260020,PE,Nordeste,JANSSEN,131,0,0
Afuá,150030,PA,Norte,FIOCRUZ/ASTRAZENECA,21035,18881,2154
Afuá,150030,PA,Norte,BUTANTAN/SINOVAC,2204,1153,1051
Afuá,150030,PA,Norte,JANSSEN,89,0,0
Afuá,150030,PA,Norte,PFIZER/BIONTECH,10,10,0
Agrestina,260030,PE,Nordeste,FIOCRUZ/ASTRAZENECA,9085,7533,1552
Agrestina,260030,PE,Nordeste,BUTANTAN/SINOVAC,5843,3586,2257
Agrestina,260030,PE,Nordeste,PFIZER/BIONTECH,4140,4051,89
Agrestina,260030,PE,Nordeste,JANSSEN,194,0,0
Agricolândia,220010,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2398,1533,865
Agricolândia,220010,PI,Nordeste,BUTANTAN/SINOVAC,1608,933,675
Agricolândia,220010,PI,Nordeste,PFIZER/BIONTECH,704,704,0
Agricolândia,220010,PI,Nordeste,JANSSEN,76,0,0
Agrolândia,420020,SC,Sul,FIOCRUZ/ASTRAZENECA,4520,2918,1602
Agrolândia,420020,SC,Sul,BUTANTAN/SINOVAC,3203,1749,1454
Agrolândia,420020,SC,Sul,PFIZER/BIONTECH,2207,2199,8
Agrolândia,420020,SC,Sul,JANSSEN,415,0,0
Agronômica,420030,SC,Sul,FIOCRUZ/ASTRAZENECA,2676,1720,956
Agronômica,420030,SC,Sul,BUTANTAN/SINOVAC,1619,896,723
Agronômica,420030,SC,Sul,PFIZER/BIONTECH,1297,1246,51
Agronômica,420030,SC,Sul,JANSSEN,243,0,0
Água Azul Do Norte,150034,PA,Norte,FIOCRUZ/ASTRAZENECA,7216,4184,3032
Água Azul Do Norte,150034,PA,Norte,BUTANTAN/SINOVAC,2286,1439,847
Água Azul Do Norte,150034,PA,Norte,JANSSEN,484,0,0
Água Azul Do Norte,150034,PA,Norte,PFIZER/BIONTECH,292,292,0
Água Boa,310060,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4798,3436,1362
Água Boa,310060,MG,Sudeste,BUTANTAN/SINOVAC,2942,1602,1340
Água Boa,310060,MG,Sudeste,PFIZER/BIONTECH,2056,2052,4
Água Boa,310060,MG,Sudeste,JANSSEN,269,0,0
Água Boa,510020,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,9735,6061,3674
Água Boa,510020,MT,Centro-Oeste,BUTANTAN/SINOVAC,8970,5135,3835
Água Boa,510020,MT,Centro-Oeste,PFIZER/BIONTECH,5856,5851,5
Água Boa,510020,MT,Centro-Oeste,JANSSEN,700,0,0
Água Branca,220020,PI,Nordeste,FIOCRUZ/ASTRAZENECA,7507,5321,2186
Água Branca,220020,PI,Nordeste,BUTANTAN/SINOVAC,5453,3063,2390
Água Branca,220020,PI,Nordeste,PFIZER/BIONTECH,3077,2928,149
Água Branca,220020,PI,Nordeste,JANSSEN,308,0,0
Água Branca,250010,PB,Nordeste,FIOCRUZ/ASTRAZENECA,3581,2491,1090
Água Branca,250010,PB,Nordeste,BUTANTAN/SINOVAC,2975,1664,1311
Água Branca,250010,PB,Nordeste,PFIZER/BIONTECH,1838,1834,4
Água Branca,250010,PB,Nordeste,JANSSEN,172,0,0
Água Branca,270010,AL,Nordeste,FIOCRUZ/ASTRAZENECA,9311,6413,2898
Água Branca,270010,AL,Nordeste,BUTANTAN/SINOVAC,7050,4180,2870
Água Branca,270010,AL,Nordeste,JANSSEN,714,0,0
Água Clara,500020,MS,Centro-Oeste,BUTANTAN/SINOVAC,5415,3711,1704
Água Clara,500020,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,5352,3655,1697
Água Clara,500020,MS,Centro-Oeste,PFIZER/BIONTECH,3854,3663,191
Água Clara,500020,MS,Centro-Oeste,JANSSEN,760,0,0
Água Comprida,310070,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1172,688,484
Água Comprida,310070,MG,Sudeste,BUTANTAN/SINOVAC,978,523,455
Água Comprida,310070,MG,Sudeste,PFIZER/BIONTECH,428,411,17
Água Comprida,310070,MG,Sudeste,JANSSEN,40,0,0
Água Doce,420040,SC,Sul,FIOCRUZ/ASTRAZENECA,3253,2190,1063
Água Doce,420040,SC,Sul,BUTANTAN/SINOVAC,2305,1298,1007
Água Doce,420040,SC,Sul,PFIZER/BIONTECH,1246,1242,4
Água Doce,420040,SC,Sul,JANSSEN,224,0,0
Água Doce Do Maranhão,210015,MA,Nordeste,FIOCRUZ/ASTRAZENECA,3723,2744,979
Água Doce Do Maranhão,210015,MA,Nordeste,BUTANTAN/SINOVAC,2751,1590,1161
Água Doce Do Maranhão,210015,MA,Nordeste,PFIZER/BIONTECH,1013,1013,0
Água Doce Do Maranhão,210015,MA,Nordeste,JANSSEN,96,0,0
Água Doce Do Norte,320016,ES,Sudeste,FIOCRUZ/ASTRAZENECA,4579,2877,1702
Água Doce Do Norte,320016,ES,Sudeste,BUTANTAN/SINOVAC,3990,2257,1733
Água Doce Do Norte,320016,ES,Sudeste,PFIZER/BIONTECH,2397,2269,128
Água Doce Do Norte,320016,ES,Sudeste,JANSSEN,351,0,0
Água Fria,290040,BA,Nordeste,BUTANTAN/SINOVAC,2979,1868,1111
Água Fria,290040,BA,Nordeste,FIOCRUZ/ASTRAZENECA,2713,2643,70
Água Fria,290040,BA,Nordeste,PFIZER/BIONTECH,612,609,3
Água Fria,290040,BA,Nordeste,JANSSEN,18,0,0
Água Fria De Goiás,520017,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2862,1906,956
Água Fria De Goiás,520017,GO,Centro-Oeste,BUTANTAN/SINOVAC,1028,550,478
Água Fria De Goiás,520017,GO,Centro-Oeste,PFIZER/BIONTECH,983,983,0
Água Fria De Goiás,520017,GO,Centro-Oeste,JANSSEN,89,0,0
Água Limpa,520020,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1390,828,562
Água Limpa,520020,GO,Centro-Oeste,BUTANTAN/SINOVAC,665,346,319
Água Limpa,520020,GO,Centro-Oeste,PFIZER/BIONTECH,145,145,0
Água Limpa,520020,GO,Centro-Oeste,JANSSEN,10,0,0
Água Nova,240040,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1560,900,660
Água Nova,240040,RN,Nordeste,BUTANTAN/SINOVAC,1247,688,559
Água Nova,240040,RN,Nordeste,PFIZER/BIONTECH,642,613,29
Água Nova,240040,RN,Nordeste,JANSSEN,61,0,0
Água Preta,260040,PE,Nordeste,FIOCRUZ/ASTRAZENECA,8946,7598,1348
Água Preta,260040,PE,Nordeste,BUTANTAN/SINOVAC,4550,2661,1889
Água Preta,260040,PE,Nordeste,PFIZER/BIONTECH,2784,2763,21
Água Preta,260040,PE,Nordeste,JANSSEN,257,0,0
Água Santa,430005,RS,Sul,FIOCRUZ/ASTRAZENECA,2067,1235,832
Água Santa,430005,RS,Sul,BUTANTAN/SINOVAC,1310,739,571
Água Santa,430005,RS,Sul,PFIZER/BIONTECH,719,639,80
Água Santa,430005,RS,Sul,JANSSEN,85,0,0
Aguaí,350030,SP,Sudeste,BUTANTAN/SINOVAC,15976,9285,6691
Aguaí,350030,SP,Sudeste,FIOCRUZ/ASTRAZENECA,15637,10104,5533
Aguaí,350030,SP,Sudeste,PFIZER/BIONTECH,6359,6150,209
Aguaí,350030,SP,Sudeste,JANSSEN,1028,0,0
Aguanil,310080,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2435,1564,871
Aguanil,310080,MG,Sudeste,BUTANTAN/SINOVAC,1743,961,782
Aguanil,310080,MG,Sudeste,PFIZER/BIONTECH,848,830,18
Aguanil,310080,MG,Sudeste,JANSSEN,105,0,0
Águas Belas,260050,PE,Nordeste,FIOCRUZ/ASTRAZENECA,21955,13263,8692
Águas Belas,260050,PE,Nordeste,BUTANTAN/SINOVAC,13821,7372,6449
Águas Belas,260050,PE,Nordeste,PFIZER/BIONTECH,7577,7362,215
Águas Belas,260050,PE,Nordeste,JANSSEN,265,0,0
Águas Da Prata,350040,SP,Sudeste,FIOCRUZ/ASTRAZENECA,4654,3136,1518
Águas Da Prata,350040,SP,Sudeste,BUTANTAN/SINOVAC,3845,2037,1808
Águas Da Prata,350040,SP,Sudeste,PFIZER/BIONTECH,1013,1013,0
Águas Da Prata,350040,SP,Sudeste,JANSSEN,192,0,0
Águas De Chapecó,420050,SC,Sul,FIOCRUZ/ASTRAZENECA,2751,1962,789
Águas De Chapecó,420050,SC,Sul,BUTANTAN/SINOVAC,2015,1076,939
Águas De Chapecó,420050,SC,Sul,PFIZER/BIONTECH,982,980,2
Águas De Chapecó,420050,SC,Sul,JANSSEN,215,0,0
Águas De Lindóia,350050,SP,Sudeste,BUTANTAN/SINOVAC,9104,4769,4335
Águas De Lindóia,350050,SP,Sudeste,FIOCRUZ/ASTRAZENECA,7206,5048,2158
Águas De Lindóia,350050,SP,Sudeste,PFIZER/BIONTECH,1847,1847,0
Águas De Lindóia,350050,SP,Sudeste,JANSSEN,279,0,0
Águas De Santa Bárbara,350055,SP,Sudeste,BUTANTAN/SINOVAC,3332,1844,1488
Águas De Santa Bárbara,350055,SP,Sudeste,FIOCRUZ/ASTRAZENECA,3067,1948,1119
Águas De Santa Bárbara,350055,SP,Sudeste,PFIZER/BIONTECH,1032,1031,1
Águas De Santa Bárbara,350055,SP,Sudeste,JANSSEN,134,0,0
Águas De São Pedro,350060,SP,Sudeste,BUTANTAN/SINOVAC,2419,1301,1118
Águas De São Pedro,350060,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2289,1323,966
Águas De São Pedro,350060,SP,Sudeste,PFIZER/BIONTECH,451,445,6
Águas De São Pedro,350060,SP,Sudeste,JANSSEN,59,0,0
Águas Formosas,310090,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5855,4814,1041
Águas Formosas,310090,MG,Sudeste,BUTANTAN/SINOVAC,4291,2261,2030
Águas Formosas,310090,MG,Sudeste,PFIZER/BIONTECH,1698,1695,3
Águas Formosas,310090,MG,Sudeste,JANSSEN,384,0,0
Águas Frias,420055,SC,Sul,FIOCRUZ/ASTRAZENECA,1416,903,513
Águas Frias,420055,SC,Sul,BUTANTAN/SINOVAC,1183,649,534
Águas Frias,420055,SC,Sul,PFIZER/BIONTECH,555,553,2
Águas Frias,420055,SC,Sul,JANSSEN,85,0,0
Águas Lindas De Goiás,520025,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,87319,71188,16131
Águas Lindas De Goiás,520025,GO,Centro-Oeste,BUTANTAN/SINOVAC,70634,49124,21510
Águas Lindas De Goiás,520025,GO,Centro-Oeste,JANSSEN,10395,0,0
Águas Mornas,420060,SC,Sul,FIOCRUZ/ASTRAZENECA,3685,2258,1427
Águas Mornas,420060,SC,Sul,BUTANTAN/SINOVAC,2298,1286,1012
Águas Mornas,420060,SC,Sul,PFIZER/BIONTECH,1189,1187,2
Águas Mornas,420060,SC,Sul,JANSSEN,230,0,0
Águas Vermelhas,310100,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4705,3411,1294
Águas Vermelhas,310100,MG,Sudeste,BUTANTAN/SINOVAC,3227,1780,1447
Águas Vermelhas,310100,MG,Sudeste,PFIZER/BIONTECH,2020,2017,3
Águas Vermelhas,310100,MG,Sudeste,JANSSEN,203,0,0
Agudo,430010,RS,Sul,FIOCRUZ/ASTRAZENECA,8572,5627,2945
Agudo,430010,RS,Sul,BUTANTAN/SINOVAC,4846,2518,2328
Agudo,430010,RS,Sul,PFIZER/BIONTECH,3359,3186,173
Agudo,430010,RS,Sul,JANSSEN,440,0,0
Agudos,350070,SP,Sudeste,BUTANTAN/SINOVAC,19704,10788,8916
Agudos,350070,SP,Sudeste,FIOCRUZ/ASTRAZENECA,16825,11499,5326
Agudos,350070,SP,Sudeste,PFIZER/BIONTECH,5880,5874,6
Agudos,350070,SP,Sudeste,JANSSEN,860,0,0
Agudos Do Sul,410030,PR,Sul,FIOCRUZ/ASTRAZENECA,5432,3851,1581
Agudos Do Sul,410030,PR,Sul,BUTANTAN/SINOVAC,2721,1554,1167
Agudos Do Sul,410030,PR,Sul,PFIZER/BIONTECH,1445,1419,26
Agudos Do Sul,410030,PR,Sul,JANSSEN,555,0,0
Águia Branca,320013,ES,Sudeste,FIOCRUZ/ASTRAZENECA,4519,2732,1787
Águia Branca,320013,ES,Sudeste,BUTANTAN/SINOVAC,3503,1900,1603
Águia Branca,320013,ES,Sudeste,PFIZER/BIONTECH,2474,2159,315
Águia Branca,320013,ES,Sudeste,JANSSEN,343,0,0
Aguiar,250020,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2287,1710,577
Aguiar,250020,PB,Nordeste,BUTANTAN/SINOVAC,1885,1006,879
Aguiar,250020,PB,Nordeste,PFIZER/BIONTECH,745,745,0
Aguiar,250020,PB,Nordeste,JANSSEN,80,0,0
Aguiarnópolis,170030,TO,Norte,FIOCRUZ/ASTRAZENECA,1879,1483,396
Aguiarnópolis,170030,TO,Norte,BUTANTAN/SINOVAC,1026,659,367
Aguiarnópolis,170030,TO,Norte,JANSSEN,839,0,0
Aguiarnópolis,170030,TO,Norte,PFIZER/BIONTECH,182,181,1
Aimorés,310110,MG,Sudeste,FIOCRUZ/ASTRAZENECA,10902,8931,1971
Aimorés,310110,MG,Sudeste,BUTANTAN/SINOVAC,6923,3669,3254
Aimorés,310110,MG,Sudeste,PFIZER/BIONTECH,2468,2463,5
Aimorés,310110,MG,Sudeste,JANSSEN,622,0,0
Aiquara,290060,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1994,1248,746
Aiquara,290060,BA,Nordeste,BUTANTAN/SINOVAC,1597,857,740
Aiquara,290060,BA,Nordeste,PFIZER/BIONTECH,790,779,11
Aiquara,290060,BA,Nordeste,JANSSEN,55,0,0
Aiuaba,230040,CE,Nordeste,BUTANTAN/SINOVAC,3344,1867,1477
Aiuaba,230040,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2274,1513,761
Aiuaba,230040,CE,Nordeste,PFIZER/BIONTECH,203,203,0
Aiuruoca,310120,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2993,2007,986
Aiuruoca,310120,MG,Sudeste,BUTANTAN/SINOVAC,2660,1449,1211
Aiuruoca,310120,MG,Sudeste,PFIZER/BIONTECH,1140,1136,4
Aiuruoca,310120,MG,Sudeste,JANSSEN,73,0,0
Ajuricaba,430020,RS,Sul,FIOCRUZ/ASTRAZENECA,3666,2174,1492
Ajuricaba,430020,RS,Sul,BUTANTAN/SINOVAC,2842,1581,1261
Ajuricaba,430020,RS,Sul,PFIZER/BIONTECH,1422,1320,102
Ajuricaba,430020,RS,Sul,JANSSEN,201,0,0
Alagoa,310130,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1782,1035,747
Alagoa,310130,MG,Sudeste,BUTANTAN/SINOVAC,1011,541,470
Alagoa,310130,MG,Sudeste,PFIZER/BIONTECH,533,504,29
Alagoa,310130,MG,Sudeste,JANSSEN,45,0,0
Alagoa Grande,250030,PB,Nordeste,FIOCRUZ/ASTRAZENECA,11501,8522,2979
Alagoa Grande,250030,PB,Nordeste,BUTANTAN/SINOVAC,10353,5416,4937
Alagoa Grande,250030,PB,Nordeste,PFIZER/BIONTECH,5020,5011,9
Alagoa Grande,250030,PB,Nordeste,JANSSEN,433,0,0
Alagoa Nova,250040,PB,Nordeste,BUTANTAN/SINOVAC,6460,3877,2583
Alagoa Nova,250040,PB,Nordeste,FIOCRUZ/ASTRAZENECA,6119,5015,1104
Alagoa Nova,250040,PB,Nordeste,PFIZER/BIONTECH,3424,3419,5
Alagoa Nova,250040,PB,Nordeste,JANSSEN,370,0,0
